id	url	imdb_code	title	title_english	title_long	slug	year	rating	runtime	genres	summary	description_full	synopsis	yt_trailer_code	language	mpa_rating	background_image	background_image_original	small_cover_image	medium_cover_image	large_cover_image	state	date_uploaded	date_uploaded_unix
46437	https://yts.mx/movies/a-nutcracker-christmas-2016	tt6132948	A Nutcracker Christmas	A Nutcracker Christmas	A Nutcracker Christmas (2016)	a-nutcracker-christmas-2016	2016	6.5	86	{Adventure, Drama, Family, Romance}	Rising ballet star takes provincial talent Lily under his wing and they become a happy lover couple, until he agrees she should cancel her first star role due to her sister's tragic accident as her family expects. She resigns and moves back to her home town, as surrogate mother to orphaned niece Sadie, who probes no less gifted at ballet. An audition brings them to Philadelphia, where Mark is now choreographer. Lily still hides her dancing past for the mothers and holds back in reconnecting with Mark, but things have their course, with a star dancer's accident working out for them.	Rising ballet star takes provincial talent Lily under his wing and they become a happy lover couple, until he agrees she should cancel her first star role due to her sister's tragic accident as her family expects. She resigns and moves back to her home town, as surrogate mother to orphaned niece Sadie, who probes no less gifted at ballet. An audition brings them to Philadelphia, where Mark is now choreographer. Lily still hides her dancing past for the mothers and holds back in reconnecting with Mark, but things have their course, with a star dancer's accident working out for them.	Rising ballet star takes provincial talent Lily under his wing and they become a happy lover couple, until he agrees she should cancel her first star role due to her sister's tragic accident as her family expects. She resigns and moves back to her home town, as surrogate mother to orphaned niece Sadie, who probes no less gifted at ballet. An audition brings them to Philadelphia, where Mark is now choreographer. Lily still hides her dancing past for the mothers and holds back in reconnecting with Mark, but things have their course, with a star dancer's accident working out for them.	Yuty5sAs81I	en		https://yts.mx/assets/images/movies/a_nutcracker_christmas_2016/background.jpg	https://yts.mx/assets/images/movies/a_nutcracker_christmas_2016/background.jpg	https://yts.mx/assets/images/movies/a_nutcracker_christmas_2016/small-cover.jpg	https://yts.mx/assets/images/movies/a_nutcracker_christmas_2016/medium-cover.jpg	https://yts.mx/assets/images/movies/a_nutcracker_christmas_2016/large-cover.jpg	ok	2022-11-06 23:43:09	1667774589
46438	https://yts.mx/movies/farewell-to-the-land-1982	tt0133192	Farewell to the Land	Farewell to the Land	Farewell to the Land (1982)	farewell-to-the-land-1982	1982	7.0	130	{Drama}	The film opens with the drowning deaths of farmer Yukio's two sons. Their deaths send him on a course of self-destruction.	The film opens with the drowning deaths of farmer Yukio's two sons. Their deaths send him on a course of self-destruction.	The film opens with the drowning deaths of farmer Yukio's two sons. Their deaths send him on a course of self-destruction.		ja		https://yts.mx/assets/images/movies/farewell_to_the_land_1982/background.jpg	https://yts.mx/assets/images/movies/farewell_to_the_land_1982/background.jpg	https://yts.mx/assets/images/movies/farewell_to_the_land_1982/small-cover.jpg	https://yts.mx/assets/images/movies/farewell_to_the_land_1982/medium-cover.jpg	https://yts.mx/assets/images/movies/farewell_to_the_land_1982/large-cover.jpg	ok	2022-11-07 03:25:38	1667787938
46439	https://yts.mx/movies/catering-christmas-2022	tt19264600	Catering Christmas	Catering Christmas	Catering Christmas (2022)	catering-christmas-2022	2022	6.8	86	{Comedy, Romance}	Molly Frost a struggling new catering business owner lands on New Hampshire's biggest event of the year.	Molly Frost a struggling new catering business owner lands on New Hampshire's biggest event of the year.	Molly Frost a struggling new catering business owner lands on New Hampshire's biggest event of the year.	Dt99KYkmFds	en		https://yts.mx/assets/images/movies/catering_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/catering_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/catering_christmas_2022/small-cover.jpg	https://yts.mx/assets/images/movies/catering_christmas_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/catering_christmas_2022/large-cover.jpg	ok	2022-11-06 23:48:44	1667774924
46440	https://yts.mx/movies/a-monsterous-holiday-2013	tt3229044	A Monsterous Holiday	A Monsterous Holiday	A Monsterous Holiday (2013)	a-monsterous-holiday-2013	2013	6.5	0	{Adventure, Animation, Family}	A young scientist must save his town when he accidentally creates a monster.	A young scientist must save his town when he accidentally creates a monster.	A young scientist must save his town when he accidentally creates a monster.		en		https://yts.mx/assets/images/movies/a_monsterous_holiday_2013/background.jpg	https://yts.mx/assets/images/movies/a_monsterous_holiday_2013/background.jpg	https://yts.mx/assets/images/movies/a_monsterous_holiday_2013/small-cover.jpg	https://yts.mx/assets/images/movies/a_monsterous_holiday_2013/medium-cover.jpg	https://yts.mx/assets/images/movies/a_monsterous_holiday_2013/large-cover.jpg	ok	2022-11-06 23:27:57	1667773677
46441	https://yts.mx/movies/lights-camera-christmas-2022	tt22246560	Lights, Camera, Christmas!	Lights, Camera, Christmas!	Lights, Camera, Christmas! (2022)	lights-camera-christmas-2022	2022	6.7	84	{Comedy, Romance}	It follows Kerry as she steps in as a costume designer for a holiday rom-com movie shooting in her town. She rediscovers her passion for costume design and finds herself falling for Brad, the film's famous leading man.	It follows Kerry as she steps in as a costume designer for a holiday rom-com movie shooting in her town. She rediscovers her passion for costume design and finds herself falling for Brad, the film's famous leading man.	It follows Kerry as she steps in as a costume designer for a holiday rom-com movie shooting in her town. She rediscovers her passion for costume design and finds herself falling for Brad, the film's famous leading man.	aHpxw7a6okU	en		https://yts.mx/assets/images/movies/lights_camera_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/lights_camera_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/lights_camera_christmas_2022/small-cover.jpg	https://yts.mx/assets/images/movies/lights_camera_christmas_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/lights_camera_christmas_2022/large-cover.jpg	ok	2022-11-07 03:16:37	1667787397
46442	https://yts.mx/movies/the-far-road-1978	tt0159034	The Far Road	The Far Road	The Far Road (1978)	the-far-road-1978	1978	6.1	114	{Action}	Follows railway workers' struggles to create unions during a period of economic growth and increased automation.	Follows railway workers' struggles to create unions during a period of economic growth and increased automation.	Follows railway workers' struggles to create unions during a period of economic growth and increased automation.		ja		https://yts.mx/assets/images/movies/the_far_road_1978/background.jpg	https://yts.mx/assets/images/movies/the_far_road_1978/background.jpg	https://yts.mx/assets/images/movies/the_far_road_1978/small-cover.jpg	https://yts.mx/assets/images/movies/the_far_road_1978/medium-cover.jpg	https://yts.mx/assets/images/movies/the_far_road_1978/large-cover.jpg	ok	2022-11-07 06:31:58	1667799118
46443	https://yts.mx/movies/the-lost-king-2022	tt13421498	The Lost King	The Lost King	The Lost King (2022)	the-lost-king-2022	2022	6.6	108	{Comedy, Drama}	In 2012, having been lost for over 500 years, the remains of King Richard III were discovered beneath a carpark in Leicester. The search had been orchestrated by an amateur historian, Philippa Langley, whose unrelenting research had been met with incomprehension by her friends and family and with scepticism by experts and academics. THE LOST KING is the life-affirming true story of a woman who refused to be ignored and who took on the country's most eminent historians, forcing them to think again about one of the most controversial kings in England's history.	In 2012, having been lost for over 500 years, the remains of King Richard III were discovered beneath a carpark in Leicester. The search had been orchestrated by an amateur historian, Philippa Langley, whose unrelenting research had been met with incomprehension by her friends and family and with scepticism by experts and academics. THE LOST KING is the life-affirming true story of a woman who refused to be ignored and who took on the country's most eminent historians, forcing them to think again about one of the most controversial kings in England's history.	In 2012, having been lost for over 500 years, the remains of King Richard III were discovered beneath a carpark in Leicester. The search had been orchestrated by an amateur historian, Philippa Langley, whose unrelenting research had been met with incomprehension by her friends and family and with scepticism by experts and academics. THE LOST KING is the life-affirming true story of a woman who refused to be ignored and who took on the country's most eminent historians, forcing them to think again about one of the most controversial kings in England's history.	0hhGll-h_qU	en	PG-13	https://yts.mx/assets/images/movies/the_lost_king_2022/background.jpg	https://yts.mx/assets/images/movies/the_lost_king_2022/background.jpg	https://yts.mx/assets/images/movies/the_lost_king_2022/small-cover.jpg	https://yts.mx/assets/images/movies/the_lost_king_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/the_lost_king_2022/large-cover.jpg	ok	2022-11-07 03:26:16	1667787976
46444	https://yts.mx/movies/aqua-teen-forever-plantasm-2022	tt14636190	Aqua Teen Forever: Plantasm	Aqua Teen Forever: Plantasm	Aqua Teen Forever: Plantasm (2022)	aqua-teen-forever-plantasm-2022	2022	6.4	79	{Animation, Comedy}	Everyone's favorite rascals, the Aqua Teens, and everyone's favorite perverted neighbor, Carl, split up then get back together to fight everyone's favorite corporate overlord, Amazin, led by everyone's favorite tech mogul, Nei and his trusty scientist sidekick, Elmer.	Everyone's favorite rascals, the Aqua Teens, and everyone's favorite perverted neighbor, Carl, split up then get back together to fight everyone's favorite corporate overlord, Amazin, led by everyone's favorite tech mogul, Nei and his trusty scientist sidekick, Elmer.	Everyone's favorite rascals, the Aqua Teens, and everyone's favorite perverted neighbor, Carl, split up then get back together to fight everyone's favorite corporate overlord, Amazin, led by everyone's favorite tech mogul, Nei and his trusty scientist sidekick, Elmer.	XuKiAekj9cM	en	R	https://yts.mx/assets/images/movies/aqua_teen_forever_plantasm_2022/background.jpg	https://yts.mx/assets/images/movies/aqua_teen_forever_plantasm_2022/background.jpg	https://yts.mx/assets/images/movies/aqua_teen_forever_plantasm_2022/small-cover.jpg	https://yts.mx/assets/images/movies/aqua_teen_forever_plantasm_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/aqua_teen_forever_plantasm_2022/large-cover.jpg	ok	2022-11-07 06:34:51	1667799291
46445	https://yts.mx/movies/incredible-but-true-2022	tt13145534	Incredible But True	Incredible But True	Incredible But True (2022)	incredible-but-true-2022	2022	6.5	74	{Comedy, Drama, Fantasy, Mystery}	Alain and Marie moved to the suburb house of their dreams. But the real estate agent warned them: what is in the basement may well change their lives forever.	Alain and Marie moved to the suburb house of their dreams. But the real estate agent warned them: what is in the basement may well change their lives forever.	Alain and Marie moved to the suburb house of their dreams. But the real estate agent warned them: what is in the basement may well change their lives forever.	X4R78LAd8Iw	fr		https://yts.mx/assets/images/movies/incredible_but_true_2022/background.jpg	https://yts.mx/assets/images/movies/incredible_but_true_2022/background.jpg	https://yts.mx/assets/images/movies/incredible_but_true_2022/small-cover.jpg	https://yts.mx/assets/images/movies/incredible_but_true_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/incredible_but_true_2022/large-cover.jpg	ok	2022-11-07 13:54:52	1667825692
46446	https://yts.mx/movies/mark-of-the-vampire-1935	tt0026685	Mark of the Vampire	Mark of the Vampire	Mark of the Vampire (1935)	mark-of-the-vampire-1935	1935	6.3	60	{Horror, Mystery}	After Sir Karell Borotin is found dead in his study, drained of his blood, the local doctor determines that he was killed by a vampire. The coroner and police Inspector Neumann dismiss the suggestion but a year later, Sir Karell's daughter is attacked and bite marks are found on her throat. Neumann calls in the eminent Professor Zelin who thinks the story of vampires is true. The locals are convinced that Count Mora and his daughter Luna are the perpetrators of the crime, creatures of the night that can turn themselves into bats. There may be another solution however and the Professor sets a trap.	After Sir Karell Borotin is found dead in his study, drained of his blood, the local doctor determines that he was killed by a vampire. The coroner and police Inspector Neumann dismiss the suggestion but a year later, Sir Karell's daughter is attacked and bite marks are found on her throat. Neumann calls in the eminent Professor Zelin who thinks the story of vampires is true. The locals are convinced that Count Mora and his daughter Luna are the perpetrators of the crime, creatures of the night that can turn themselves into bats. There may be another solution however and the Professor sets a trap.	After Sir Karell Borotin is found dead in his study, drained of his blood, the local doctor determines that he was killed by a vampire. The coroner and police Inspector Neumann dismiss the suggestion but a year later, Sir Karell's daughter is attacked and bite marks are found on her throat. Neumann calls in the eminent Professor Zelin who thinks the story of vampires is true. The locals are convinced that Count Mora and his daughter Luna are the perpetrators of the crime, creatures of the night that can turn themselves into bats. There may be another solution however and the Professor sets a trap.	hBQ3fg_T3NU	en		https://yts.mx/assets/images/movies/mark_of_the_vampire_1935/background.jpg	https://yts.mx/assets/images/movies/mark_of_the_vampire_1935/background.jpg	https://yts.mx/assets/images/movies/mark_of_the_vampire_1935/small-cover.jpg	https://yts.mx/assets/images/movies/mark_of_the_vampire_1935/medium-cover.jpg	https://yts.mx/assets/images/movies/mark_of_the_vampire_1935/large-cover.jpg	ok	2022-11-07 20:26:00	1667849160
