id,primary_genre
45983,Comedy
45982,Drama
45981,Action
45980,Horror
45979,Horror
45978,Comedy
45977,Comedy
45976,Action
45975,Comedy
45974,Family
45973,Comedy
45972,Biography
45969,Comedy
45970,Documentary
45966,Comedy
45967,Action
45968,Comedy
45965,Comedy
45964,Comedy
45963,Documentary
45962,Documentary
45961,Documentary
45960,Documentary
45959,Drama
45958,Documentary
45957,Documentary
45956,Crime
45955,Action
45954,Biography
45953,Drama
45952,Drama
45951,Drama
45949,Drama
45950,Adventure
45948,Thriller
45947,Drama
45946,Drama
45945,Comedy
45943,Drama
45944,Comedy
45941,Comedy
45942,Comedy
45940,Family
45939,Drama
45938,Crime
45937,Drama
45936,Drama
45933,Comedy
45934,Documentary
45935,Drama
45932,Drama
45929,Horror
45930,Drama
45931,Crime
45928,Comedy
45927,Documentary
45926,Crime
45925,Comedy
45924,Drama
45923,Documentary
45922,Comedy
45921,Comedy
45918,Drama
45919,Drama
45916,Adventure
45917,Action
45915,Crime
45914,Comedy
45913,Comedy
45912,Action
45911,Drama
45910,Drama
45909,Western
45908,Drama
45906,Action
45907,Romance
45904,Comedy
45905,Comedy
45903,Horror
45902,Crime
45901,Drama
45900,Horror
45899,Drama
45898,Horror
45897,Comedy
45896,Animation
45894,Crime
45895,Documentary
45893,Documentary
45892,Documentary
45890,Comedy
45891,Romance
45888,Documentary
45887,Action
45886,Drama
45885,Documentary
45884,Biography
45883,Documentary
45882,Documentary
45881,Documentary
45880,Biography
45879,Documentary
45878,Biography
45877,Drama
45876,Documentary
45875,Action
45874,Action
45872,Comedy
45873,Drama
45871,Documentary
45870,Documentary
45868,Fantasy
45869,Drama
45867,Comedy
45865,Documentary
45866,Drama
45864,Action
45863,Documentary
45862,Documentary
45861,Documentary
45860,Action
45859,Action
45858,Drama
45857,Biography
45856,Action
45853,Action
45854,Comedy
45855,Romance
45852,Documentary
45851,Documentary
45850,Documentary
45849,Documentary
45848,Documentary
45847,Drama
45846,Documentary
45845,Thriller
45844,Documentary
45843,Drama
45842,Documentary
45841,Documentary
45840,Documentary
45839,Action
45838,Horror
45837,Horror
45836,Drama
45835,Drama
45833,Comedy
45834,Biography
45832,Action
45831,Music
45829,Horror
45830,Drama
45826,Adventure
45827,Comedy
45828,Action
45825,Crime
45824,Action
45822,Thriller
45823,Drama
45821,Drama
45820,Action
45819,Comedy
45818,Horror
45817,Biography
45816,Comedy
45815,Drama
45814,Comedy
45813,Action
45810,Action
45811,Action
45812,Drama
45809,Comedy
45808,Drama
45807,Documentary
45806,Drama
45804,Documentary
45805,Animation
45802,Documentary
45801,Action
45800,Action
45799,Documentary
45798,Documentary
45797,Documentary
45796,Comedy
45795,Action
45794,Action
45793,Talk-Show
45790,Documentary
45791,Comedy
45792,Action
45789,Documentary
45788,Action
45786,Comedy
45787,Adventure
45785,Adventure
45784,Documentary
45783,Crime
45781,Documentary
45782,Drama
45780,Action
45779,Documentary
45778,Thriller
45777,Documentary
45776,Biography
45772,Biography
45773,Thriller
45774,Drama
45775,Documentary
45770,Drama
45771,Action
45769,Comedy
45768,Comedy
45766,Drama
45767,Documentary
45764,Horror
45765,Documentary
45763,Documentary
45762,Documentary
45761,Action
45759,Documentary
45760,Documentary
45758,Action
45757,Comedy
45756,Comedy
45755,Comedy
45754,Documentary
45753,Documentary
45752,History
45751,Thriller
45750,Drama
45749,Action
45748,Horror
45747,Documentary
45746,Action
45743,Comedy
45744,Documentary
45745,Documentary
45742,Crime
45741,Drama
45740,Drama
45739,Comedy
45738,Action
45737,Drama
45736,Adventure
45735,Comedy
45734,Drama
45732,Drama
45731,Biography
45730,Documentary
45729,Action
45728,Documentary
45727,Drama
45726,Drama
45725,Comedy
45724,Drama
45723,Documentary
45722,Comedy
45721,Action
45720,Biography
45719,Crime
45718,Drama
45717,Documentary
45716,Comedy
45715,Western
45713,Documentary
45714,Comedy
45712,Thriller
45711,Drama
45710,Comedy
45708,Documentary
45709,Comedy
45706,Documentary
45707,Drama
45705,Drama
45704,Action
45703,Action
45702,Documentary
45701,Documentary
45700,Horror
45699,Western
45698,Comedy
45696,Drama
45697,Drama
45694,Documentary
45695,Action
45693,Documentary
45692,Adventure
45690,Documentary
45691,Drama
45689,Drama
45688,Biography
45687,Drama
45686,Documentary
45685,Documentary
45684,Comedy
45681,Drama
45682,Drama
45683,Comedy
45680,Crime
45679,Comedy
45676,Drama
45677,Comedy
45678,Action
45675,Drama
45674,Documentary
45673,Crime
45672,Drama
45671,Documentary
45670,Comedy
45669,Action
45668,Sci-Fi
45667,Drama
45666,Horror
45665,Action
45664,Family
45663,Comedy
45662,Comedy
45661,Biography
45660,Drama
45658,Drama
45659,Drama
45657,Documentary
45656,Action
45654,Horror
45653,Drama
45652,Comedy
45651,Comedy
45650,Biography
45649,Drama
45648,Horror
45647,Animation
45646,Action
45645,Documentary
45644,Thriller
45643,Comedy
45642,Horror
